signed_label,goal_number,view_description,signatures_number,nodepetition_link/_text,nodepetition_link,signatures_number/_source,view_label,goal_number/_source,nodepetition_link/_source,goal_label,pageUrl,fielditem_value
signed,100000,Recognize the Klu Klux Klan as a domestic terrorist organization & make their eradication a Homeland Security priority.,109568,Recognize the Klu Klux Klan as a domestic terrorist organization & make their eradication a Homeland Security priority.,https://petitions.whitehouse.gov/petition/recognize-klu-klux-klan-domestic-terrorist-organization-make-their-eradication-homeland-security-priority,"109,568",View,"100,000",/petition/recognize-klu-klux-klan-domestic-terrorist-organization-make-their-eradication-homeland-security-priority,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,100000,Pardon Edward Snowden,167955,Pardon Edward Snowden,https://petitions.whitehouse.gov/petition/pardon-edward-snowden,"167,955",View,"100,000",/petition/pardon-edward-snowden,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,100000,Bring justice to Michael Brown by federally charging and prosecuting Darren Wilson for first-degree murder,130587,Bring justice to Michael Brown by federally charging and prosecuting Darren Wilson for first-degree murder,https://petitions.whitehouse.gov/petition/bring-justice-michael-brown-federally-charging-and-prosecuting-darren-wilson-first-degree-murder,"130,587",View,"100,000",/petition/bring-justice-michael-brown-federally-charging-and-prosecuting-darren-wilson-first-degree-murder,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,25000,Support mandatory labeling of genetically engineered foods (GMOs).,115501,Support mandatory labeling of genetically engineered foods (GMOs).,https://petitions.whitehouse.gov/petition/support-mandatory-labeling-genetically-engineered-foods-gmos,"115,501",View,"25,000",/petition/support-mandatory-labeling-genetically-engineered-foods-gmos,goal,https://petitions.whitehouse.gov/responses?page=1,Health Care
signed,100000,Demand Brooklyn District Attorney Kenneth P. Thompson to withdraw indictment against Asian minority Officer Peter Liang!,101170,Demand Brooklyn District Attorney Kenneth P. Thompson to withdraw indictment against Asian minority Officer Peter Liang!,https://petitions.whitehouse.gov/petition/demand-brooklyn-district-attorney-kenneth-p-thompson-withdraw-indictment-against-asian-minority-officer-peter-liang-177,"101,170",View,"100,000",/petition/demand-brooklyn-district-attorney-kenneth-p-thompson-withdraw-indictment-against-asian-minority-officer-peter-liang-177,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,100000,grant a presidential pardon to U.S. Army Lieutenant Clint Lorance in Leavenworth prison,124966,grant a presidential pardon to U.S. Army Lieutenant Clint Lorance in Leavenworth prison,https://petitions.whitehouse.gov/petition/grant-presidential-pardon-us-army-lieutenant-clint-lorance-leavenworth-prison,"124,966",View,"100,000",/petition/grant-presidential-pardon-us-army-lieutenant-clint-lorance-leavenworth-prison,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,5000,Require all Genetically Modified Foods to be labeled as such.,67221,Require all Genetically Modified Foods to be labeled as such.,https://petitions.whitehouse.gov/petition/require-all-genetically-modified-foods-be-labeled-such,"67,221",View,"5,000",/petition/require-all-genetically-modified-foods-be-labeled-such,goal,https://petitions.whitehouse.gov/responses?page=1,Health Care
signed,25000,To award the Medal of Freedom to the 4 Firefighters who were ambushed in West Webster New York on Christmas Eve 2012,34426,To award the Medal of Freedom to the 4 Firefighters who were ambushed in West Webster New York on Christmas Eve 2012,https://petitions.whitehouse.gov/petition/award-medal-freedom-4-firefighters-who-were-ambushed-west-webster-new-york-christmas-eve-2012,"34,426",View,"25,000",/petition/award-medal-freedom-4-firefighters-who-were-ambushed-west-webster-new-york-christmas-eve-2012,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,100000,Reform ECPA: Tell the Government to Get a Warrant,113035,Reform ECPA: Tell the Government to Get a Warrant,https://petitions.whitehouse.gov/petition/reform-ecpa-tell-government-get-warrant,"113,035",View,"100,000",/petition/reform-ecpa-tell-government-get-warrant,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,100000,PROHIBIT ANY LAWS MANDATING THE FORCE AND REQUIREMENT OF VACCINATIONS OF ANY KIND.,132204,PROHIBIT ANY LAWS MANDATING THE FORCE AND REQUIREMENT OF VACCINATIONS OF ANY KIND.,https://petitions.whitehouse.gov/petition/prohibit-any-laws-mandating-force-and-requirement-vaccinations-any-kind,"132,204",View,"100,000",/petition/prohibit-any-laws-mandating-force-and-requirement-vaccinations-any-kind,goal,https://petitions.whitehouse.gov/responses?page=1,Health Care
